2024-11-19 14:52:10.399 [info] Reading sessions from keychain...
2024-11-19 14:52:10.399 [info] Getting sessions for all scopes...
2024-11-19 14:52:10.399 [info] Got 0 sessions for ...
2024-11-19 14:52:10.399 [info] Getting sessions for all scopes...
2024-11-19 14:52:10.399 [info] Got 0 sessions for ...
2024-11-19 14:52:10.399 [info] Getting sessions for all scopes...
2024-11-19 14:52:10.399 [info] Got 0 sessions for ...
2024-11-19 14:52:10.399 [info] Getting sessions for read:user,repo,user:email...
2024-11-19 14:52:10.399 [info] Got 0 sessions for read:user,repo,user:email...
2024-11-19 14:52:11.594 [info] Getting sessions for all scopes...
2024-11-19 14:52:11.594 [info] Got 0 sessions for ...
2024-11-19 14:52:11.726 [info] Getting sessions for all scopes...
2024-11-19 14:52:11.726 [info] Got 0 sessions for ...
2024-11-19 14:52:11.842 [info] Getting sessions for all scopes...
2024-11-19 14:52:11.842 [info] Got 0 sessions for ...
2024-11-19 14:52:13.061 [info] Getting sessions for all scopes...
2024-11-19 14:52:13.061 [info] Got 0 sessions for ...
2024-11-19 14:52:13.096 [info] Getting sessions for all scopes...
2024-11-19 14:52:13.096 [info] Got 0 sessions for ...
2024-11-19 14:52:15.557 [info] Getting sessions for all scopes...
2024-11-19 14:52:15.557 [info] Got 0 sessions for ...
